kinfocenter 6.0.4-1
kio 6.1.0-1
kio-extras 24.02.2-1
kio-fuse 5.1.0-3
kio5 5.115.0-3
kirigami 6.1.0-1
kirigami-addons 1.1.0-1
kitemmodels 6.1.0-1
kitemviews 6.1.0-1
kitemviews5 5.115.0-1
kjobwidgets 6.1.0-1
kjobwidgets5 5.115.0-1
kmenuedit 6.0.4-1
kmod 32-1
knewstuff 6.1.0-1
knotifications 6.1.0-1
knotifications5 5.115.0-1
knotifyconfig 6.1.0-1
knotifyconfig5 5.115.0-1
konsole 24.02.2-1
kpackage 6.1.0-1
kpackage5 5.115.0-1
kparts 6.1.0-1
kpipewire 6.0.4-1
kpty 6.1.0-1
kquickcharts 6.1.0-1
krb5 1.21.2-2
krdc 24.02.2-1
krunner 6.1.0-1
kscreen 6.0.4-1
kscreenlocker 6.0.4-1
kservice 6.1.0-1
kservice5 5.115.0-1
ksshaskpass 6.0.4-1
kstatusnotifieritem 6.1.0-1
ksvg 6.1.0-1
ksystemstats 6.0.4-1
ktexteditor 6.1.0-1
ktextwidgets 6.1.0-1
ktextwidgets5 5.115.0-1
kunitconversion 6.1.0-1
kuserfeedback 6.1.0-1
kwallet 6.1.0-1
kwallet-pam 6.0.4-1
kwallet5 5.115.0-2
kwayland 6.0.4-1
kwidgetsaddons 6.1.0-1
kwidgetsaddons5 5.115.0-1
kwin 6.0.4.1-1
kwin-effects-forceblur-git r81.853a514df-1
kwin-effects-forceblur-git-debug r81.853a514df-1
kwindowsystem 6.1.0-1
kwindowsystem5 5.115.0-1
kwrited 6.0.4-1
kxmlgui 6.1.0-1
kxmlgui5 5.115.0-1
l-smash 2.14.5-3
ladspa 1.17-4
lame 3.100-4
lapack 3.12.0-3
layer-shell-qt 6.0.4-1
lcms2 2.16-1
ldb 2:2.9.0-2
less 1:643-2
lhasa 0.3.1-3
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.11-1
lib32-alsa-plugins 1.2.7.1-2
lib32-at-spi2-core 2.52.0-1
lib32-attr 2.5.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-cairo 1.18.0-2
lib32-colord 1.4.7-1
lib32-curl 8.7.1-4
lib32-dbus 1.14.10-2
lib32-dbus-glib 0.112-2
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.6.2-1
lib32-flac 1.4.3-1
lib32-fontconfig 2:2.15.0-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.13.2-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.2.1-5
lib32-gdk-pixbuf2 2.42.11-2
lib32-gettext 0.22.4-1
lib32-giflib 5.2.2-1
lib32-glew1.10 1.10.0-5
lib32-glib2 2.80.0-1
lib32-glibc 2.39-2
lib32-glu 9.0.3-1
lib32-gmp 6.3.0-1
lib32-gnutls 3.8.4-1
lib32-gst-plugins-base-libs 1.24.2-1
lib32-gstreamer 1.24.2-1
lib32-gtk2 2.24.33-2
lib32-gtk3 1:3.24.41-1
lib32-harfbuzz 8.4.0-1
lib32-icu 74.2-1
lib32-imlib2 1.12.2-1
lib32-json-c 0.17-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.2-1
lib32-lcms2 2.16-1
lib32-libappindicator-gtk2 12.10.0.r298-1
lib32-libasyncns 1:0.8+r3+g68cd5af-2
lib32-libcaca 0.99.beta20-1
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libcap 2.69-1
lib32-libcups 2.4.7-1
lib32-libcurl-compat 8.7.1-4
lib32-libcurl-gnutls 8.7.1-4
lib32-libdatrie 0.2.13-2
lib32-libdbusmenu-glib 16.04.0-5
lib32-libdbusmenu-gtk2 16.04.0-5
lib32-libdrm 2.4.120-1
lib32-libelf 0.191-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.6-1
lib32-libgcrypt 1.10.3-1
lib32-libgcrypt15 1.5.6-7
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.48-1
lib32-libgudev 238-1
lib32-libice 1.1.1-1
lib32-libidn11 1.33-2
